file,path,n_points,min_label,max_label,n_unique_labels,class_0_count,class_0_share,class_1_count,class_1_share,class_2_count,class_2_share,class_3_count,class_3_share,class_4_count,class_4_share,class_5_count,class_5_share,class_6_count,class_6_share,class_7_count,class_7_share,class_8_count,class_8_share,class_9_count,class_9_share
valve_0001_lidar_classes.ply,13/valve_0001_lidar_classes.ply,7218,0,9,10,1207,0.16722083679689664,1105,0.15308949847603215,489,0.06774729842061512,293,0.04059296203934608,44,0.006095871432529786,65,0.009005264616237185,492,0.06816292601828762,798,0.11055694098088113,40,0.005541701302299806,2685,0.3719866999168745
valve_0002_lidar_classes.ply,13/valve_0002_lidar_classes.ply,7106,0,9,10,1063,0.1495918941739375,850,0.11961722488038277,406,0.05713481564874754,745,0.10484097945398255,44,0.006191950464396285,91,0.012806079369546862,651,0.0916127216436814,446,0.06276386152547143,48,0.006754855052068675,2762,0.388685617787785
valve_0003_lidar_classes.ply,13/valve_0003_lidar_classes.ply,7368,0,9,10,1058,0.14359391965255158,742,0.1007057546145494,463,0.06283930510314875,751,0.10192725298588491,60,0.008143322475570033,82,0.011129207383279044,745,0.10111292073832791,634,0.08604777415852334,46,0.006243213897937025,2787,0.378257328990228
valve_0004_lidar_classes.ply,13/valve_0004_lidar_classes.ply,7220,0,9,10,1255,0.17382271468144045,939,0.13005540166204987,456,0.06315789473684211,621,0.08601108033240998,55,0.007617728531855956,98,0.013573407202216066,617,0.08545706371191136,502,0.06952908587257618,42,0.005817174515235457,2635,0.3649584487534626
valve_0005_lidar_classes.ply,13/valve_0005_lidar_classes.ply,8268,0,9,10,1478,0.1787614900822448,1055,0.1276003870343493,467,0.05648282535074988,426,0.05152394775036284,68,0.00822447992259313,65,0.007861635220125786,775,0.09373488147073053,779,0.09421867440735365,52,0.006289308176100629,3103,0.37530237058538946
valve_0006_lidar_classes.ply,13/valve_0006_lidar_classes.ply,7617,0,9,10,1105,0.1450702376263621,967,0.1269528685834318,506,0.06643035315741105,320,0.0420112905343311,62,0.00813968754102665,83,0.01089667848234213,591,0.07758960220559276,769,0.10095838256531443,40,0.0052514113167913875,3174,0.4166994879873966
valve_0007_lidar_classes.ply,13/valve_0007_lidar_classes.ply,6751,0,9,10,1140,0.16886387201896016,802,0.11879721522737373,451,0.06680491778995705,604,0.0894682269293438,61,0.009035698415049623,75,0.011109465264405273,607,0.08991260553992002,418,0.06191675307361872,43,0.006369426751592357,2550,0.3777218189897793
valve_0008_lidar_classes.ply,13/valve_0008_lidar_classes.ply,8688,0,9,10,1646,0.18945672191528545,1099,0.1264963167587477,526,0.06054327808471455,450,0.05179558011049724,70,0.008057090239410682,94,0.0108195211786372,830,0.0955340699815838,569,0.0654926335174954,61,0.007021178637200737,3343,0.38478360957642727
valve_0009_lidar_classes.ply,13/valve_0009_lidar_classes.ply,8740,0,9,10,1378,0.1576659038901602,1034,0.11830663615560641,424,0.04851258581235698,555,0.06350114416475973,79,0.009038901601830664,101,0.011556064073226544,863,0.09874141876430206,609,0.0696796338672769,61,0.006979405034324943,3636,0.41601830663615563
valve_0010_lidar_classes.ply,13/valve_0010_lidar_classes.ply,8600,0,9,10,1432,0.16651162790697674,706,0.08209302325581395,535,0.062209302325581396,1019,0.11848837209302325,98,0.011395348837209301,111,0.012906976744186047,851,0.09895348837209303,893,0.10383720930232558,51,0.005930232558139535,2904,0.33767441860465114
